,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition
0,13000000.0,108.0,2019-03-07T00:00:00,3,2.7,16.0,51.0,8,,False,False,25.0,,Kyiv,1.0,482.0,2.0,755.0,
1,3350000.0,40.4,2018-12-04T00:00:00,1,,11.0,18.6,1,,False,False,11.0,2.0,Brovary,0.0,,0.0,,81.0
2,5196000.0,56.0,2015-08-20T00:00:00,2,,5.0,34.3,4,,False,False,8.3,0.0,Kyiv,1.0,90.0,2.0,574.0,558.0
3,64900000.0,159.0,2015-07-24T00:00:00,3,,14.0,,9,,False,False,,0.0,Kyiv,2.0,84.0,3.0,234.0,424.0
4,10000000.0,100.0,2018-06-19T00:00:00,2,3.03,14.0,32.0,13,,False,False,41.0,,Kyiv,2.0,112.0,1.0,48.0,121.0
5,2890000.0,30.4,2018-09-10T00:00:00,1,,12.0,14.4,5,,False,False,9.1,,Boyarka,,,,,55.0
6,3700000.0,37.3,2017-11-02T00:00:00,1,,26.0,10.6,6,,False,False,14.4,1.0,Hostomel,0.0,,0.0,,155.0
7,7915000.0,71.6,2019-04-18T00:00:00,2,,24.0,,22,,False,False,18.9,2.0,Kyiv,0.0,,0.0,,
8,2900000.0,33.16,2018-05-23T00:00:00,1,,27.0,15.43,26,,False,False,8.81,,Bucha,,,,,189.00000000000003
9,5400000.0,61.0,2017-02-26T00:00:00,3,2.5,9.0,43.6,7,,False,False,6.5,2.0,Kyiv,0.0,,0.0,,289.0
10,5050000.0,39.6,2017-11-16T00:00:00,1,2.67,12.0,20.3,3,,False,False,8.5,,Kyiv,1.0,310.0,2.0,553.0,137.0
11,3300000.0,44.0,2018-08-27T00:00:00,2,,5.0,31.0,4,False,False,False,6.0,1.0,Boryspil,0.0,,0.0,,7.0
12,3890000.0,54.0,2016-06-30T00:00:00,2,,5.0,30.0,5,,False,False,9.0,0.0,Irpin,,,,,90.00000000000001
13,3550000.0,42.8,2017-07-01T00:00:00,2,2.56,5.0,27.0,5,,False,False,5.2,1.0,Vyshneve,1.0,294.0,3.0,298.0,366.00000000000006
14,4400000.0,36.0,2016-06-23T00:00:00,1,,6.0,17.0,1,,False,False,8.0,0.0,Hostomel,0.0,,1.0,96.0,203.0
15,4650000.0,39.0,2017-11-18T00:00:00,1,,14.0,20.5,5,,False,False,7.6,1.0,Kyiv,1.0,590.0,1.0,296.0,19.0
16,6700000.0,82.0,2017-11-23T00:00:00,3,3.05,5.0,55.6,1,,False,False,9.0,,Kyiv,3.0,420.0,0.0,,397.0
17,4180000.0,36.0,2016-09-09T00:00:00,1,,17.0,16.5,7,,False,False,11.0,1.0,Kyiv,0.0,,1.0,859.0,571.0
18,3250000.0,31.0,2017-01-27T00:00:00,1,2.5,5.0,19.4,2,,False,False,5.6,1.0,Kyiv,1.0,759.0,0.0,,168.0
