Number ;Creation Date;Date when pay;Title;Status  ;Money amount  ;City;Payment System
1062823;01.12.2024 10:50;01.12.2024 10:52;AI Engineering;Completed;29597.5;Bucha;Банківський переказ
1062855;01.12.2024 20:53;01.12.2024 21:27;AI Engineering;Completed;17450.3;Kharkiv;Google Pay
1062856;01.12.2024 21:43;;Python. Data analysis;Canceled;0;Vinnytsia;
1062880;03.12.2024 0:18;;Frontend Development;Canceled;0;Pervomaisk;
1062899;03.12.2024 21:43;;AI Engineering;Canceled;0;Smila;
1062900;03.12.2024 21:49;;Frontend Development;Canceled;0;TERNOPIL;
1062911;04.12.2024 13:12;;Frontend Development;Canceled;0;Vinnytsia;
1062914;04.12.2024 14:57;;Frontend Development;Canceled;0;Vinnytsia;
1062915;04.12.2024 16:08;;AI Engineering;Canceled;0;Kharkiv;
1062925;04.12.2024 21:51;;AI Engineering;Canceled;0;Kovel;
1062927;04.12.2024 22:02;;Python. Data analysis;Canceled;0;;
1062931;04.12.2024 23:11;;AI Engineering;Canceled;0;Pervomaisk;
1062938;05.12.2024 12:07;22.12.2024 12:29;Frontend Development;Completed;8910; Lviv;PayPal
1062940;05.12.2024 15:35;05.12.2024 15:40;Machine Learning;Completed;9394.56;;LiqPay
1062947;05.12.2024 21:39;07.12.2024 13:35;Frontend Development;Completed;5044.05;Sumy;LiqPay
1062948;05.12.2024 21:56;;AI Engineering;Canceled;0;OdesaDnipro ;
1062949;05.12.2024 21:57;06.12.2024 9:15;AI Engineering;Completed;29597.5;Irpin;Монобанк
1062950;05.12.2024 22:06;;Frontend Development;Canceled;0; Lviv;
1062984;07.12.2024 8:25;;Frontend Development;Canceled;0;Vasylkiv;
1063012;08.12.2024 21:43;08.12.2024 22:21;Frontend Development;Completed;9800.36;  Chornomorsk  ;WayForPay
1063013;08.12.2024 21:45;;Frontend Development;Canceled;0;Poltava;
1063014;08.12.2024 21:58;08.12.2024 23:51;AI Engineering;Completed;29597.5;Cherkasy;LiqPay
1063020;09.12.2024 8:17;;Frontend Development;Canceled;0;Nova Kakhovka;
1063032;09.12.2024 21:44;11.12.2024 20:06;Frontend Development;Completed;9649.03;Bucha;Portmone
1063051;10.12.2024 21:42;10.12.2024 21:46;Frontend Development;Completed;9800.36;Brovary;Portmone
1063055;10.12.2024 21:58;11.12.2024 16:02;Frontend Development;Completed;9800.36;;ПриватБанк
1063084;11.12.2024 17:04;11.12.2024 17:05;Frontend Development;Completed;1;;PayPal
1063087;11.12.2024 17:10;11.12.2024 17:10;Frontend Development;Completed;1;ZAPORIZHZHIA;PayPal
1063089;11.12.2024 17:14;11.12.2024 17:14;Frontend Development;Completed;1;Drohobych;Монобанк
1063090;11.12.2024 17:16;11.12.2024 17:16;Frontend Development;Completed;1;;PayPal
1063092;11.12.2024 17:19;11.12.2024 17:19;Frontend Development;Completed;1;OdesaDnipro ;LiqPay
1063093;11.12.2024 17:23;11.12.2024 17:24;Frontend Development;Completed;1;Brovary;ПриватБанк
1063094;11.12.2024 17:25;11.12.2024 17:26;Frontend Development;Completed;1;Vasylkiv;PayPal
1063109;11.12.2024 23:52;12.12.2024 0:02;Python. Web-developer ;Completed;9898.56;Kostiantynivka;WayForPay
1063174;13.12.2024 13:30;;AI Engineering;Canceled;0;Kharkiv;
1063186;13.12.2024 15:30;;AI Engineering;Canceled;0;Bucha;
1063225;14.12.2024 0:26;;AI Engineering;Canceled;0;Smila;
1063251;14.12.2024 14:34;18.12.2024 13:11;AI Engineering;Completed;42750;Kharkiv;WayForPay
1063256;14.12.2024 15:57;14.12.2024 16:49;Frontend Development;Completed;14097.8;Irpin;LiqPay
1063282;14.12.2024 21:42;;AI Engineering;Canceled;0;Zhytomyr;
1063283;14.12.2024 21:55;14.12.2024 23:57;Python. Data analysis;Completed;19698.9;zAPORIZHZHIA;Монобанк
1063291;15.12.2024 1:27;23.12.2024 23:37;Frontend Development;Completed;9305.36;Slovyansk;PayPal
1063295;15.12.2024 10:58;15.12.2024 13:00;Frontend Development;Completed;9305.36;Brovary;Portmone
1063302;15.12.2024 14:33;;Machine Learning;Canceled;0;Nikopol;
1063310;15.12.2024 21:44;;Python. Data analysis;Canceled;0;;
1063314;15.12.2024 21:57;17.12.2024 21:02;Frontend Development;Completed;9800.36;;Google Pay
1063333;16.12.2024 11:11;17.12.2024 13:42;Python. Data analysis;Completed;29695.7; Lviv;Google Pay
1063349;16.12.2024 19:59;17.12.2024 14:19;Frontend Development;Completed;9405;;Монобанк
1063367;16.12.2024 21:53;;AI Engineering;Canceled;0;Pervomaisk;
1063368;16.12.2024 21:56;;Frontend Development;Canceled;0;ZAPORIZHZHIA;
1063391;17.12.2024 9:59;17.12.2024 10:01;Python. Data analysis;Completed;29695.7;Kherson;LiqPay
1063419;17.12.2024 21:47;;AI Engineering;Canceled;0;Kyiv ;
1063422;17.12.2024 21:51;;Frontend Development;Canceled;0;Kherson;
1063572;19.12.2024 16:04;;Frontend Development;Canceled;0;oDesa;
1063582;19.12.2024 20:52;19.12.2024 20:54;Java Developer;Completed;2935.44;Bucha;Apple Pay
1063583;19.12.2024 20:53;19.12.2024 22:06;Java Developer;Completed;2935.44;Irpin;Банківський переказ
1063584;19.12.2024 20:53;20.12.2024 15:28;Java Developer;Completed;2935.44;Kakhovka;WayForPay
1063585;19.12.2024 20:53;19.12.2024 20:56;Java Developer;Completed;2935.44;Vinnytsia;LiqPay
1063586;19.12.2024 20:53;19.12.2024 21:18;Java Developer;Completed;2935.44;Zhytomyr;Монобанк
1063587;19.12.2024 20:54;;Java Developer;Canceled;0;Sumy;
1063588;19.12.2024 20:54;19.12.2024 20:58;Java Developer;Completed;2935.44;Slavutych;ПриватБанк
1063589;19.12.2024 20:54;;Java Developer;Canceled;0;zAPORIZHZHIA;
1063591;19.12.2024 20:55;19.12.2024 20:58;Java Developer;Completed;2935.44;Smila;WayForPay
1063593;19.12.2024 20:55;19.12.2024 20:59;Java Developer;Completed;2935.44;Nikopol;Google Pay
1063594;19.12.2024 20:55;21.12.2024 10:49;Java Developer;Completed;2935.44;Nova Kakhovka;Apple Pay
1063595;19.12.2024 20:55;;Java Developer;Canceled;0;Nikopol;
1063596;19.12.2024 20:55;19.12.2024 20:58;Java Developer;Completed;2935.44;Kyiv;PayPal
1063598;19.12.2024 20:55;19.12.2024 21:40;Java Developer;Completed;2935.44;;LiqPay
1063599;19.12.2024 20:56;;Java Developer;Pending payment;0; Lviv;
1063602;19.12.2024 20:56;19.12.2024 20:59;Java Developer;Completed;2935.44;Poltava;PayPal
1063604;19.12.2024 20:56;19.12.2024 21:01;Java Developer;Completed;2935.44;Pervomaisk;LiqPay
1063605;19.12.2024 20:56;19.12.2024 21:03;Java Developer;Completed;2935.44;Vasylkiv;WayForPay
1063606;19.12.2024 20:56;19.12.2024 20:59;Java Developer;Completed;2935.44;zAPORIZHZHIA;Монобанк
1063608;19.12.2024 20:57;19.12.2024 21:30;Java Developer;Completed;2935.44;lutsk;Банківський переказ
